table,column,defect_type,rows_affected
batches,storage_temp_c,missing_value,145
batches,storage_humidity_pct,missing_value,115
batches,supplier_reliability,missing_value,60
shipments,actual_transit_days,missing_value,269
inventory,units_on_hand,missing_value,30
batches,<row>,duplicate_row,28
shipments,<row>,duplicate_row,86
batches,region,invalid_category,101
shipments,region,invalid_category,327
inventory,region,invalid_category,53
batches,storage_duration_days,negative_duration,33
batches,potency_pct,potency_above_100pct,38
batches,supplier_name,trailing_whitespace,81
shipments,carrier,trailing_whitespace,216
