batch_id,drug_code,brand_name,therapeutic_area,form,is_cold_chain,shelf_life_months,unit_cost_usd,supplier_id,supplier_name,supplier_country,supplier_reliability,warehouse_id,region,date_procurement,units_procured,units_manufactured,qa_pass,qa_result,qa_fail_reason,units_qa_passed,units_packaged,units_warehoused,units_distributed,units_delivered,units_dispensed,delay_procurement_days,date_manufacturing,delay_manufacturing_days,date_quality,delay_quality_testing_days,date_packaging,delay_packaging_days,date_warehouse,delay_warehouse_days,date_distributor,delay_distributor_days,date_pharmacy,delay_hospital_pharmacy_days,date_patient,delay_patient_days,total_cycle_time_days,qa_delay_days,cold_chain_excursion,storage_temp_c,storage_humidity_pct,storage_duration_days,potency_pct,expiry_date,days_to_expiry_at_delivery,batch_risk_label,batch_value_usd,units_lost,value_lost_usd,year,month,year_month,quarter
BATCH-00001,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-05,Cambrex Corporation,USA,0.95,WH-LA-01,Latin America,2024-07-17,21257,20608,1,Pass,Not Applicable,20112,18116,17832,16515,15975,14097,11.2,2024-07-27,10.4,2024-08-22,26.2,2024-08-28,5.5,2024-09-07,10.1,2024-09-17,10.0,2024-09-26,8.7,2024-10-06,9.7,81,26.2,0,6.9,57.5,29,99.06,2026-01-25 22:04:48.000000008,486,Low,204067.2,7160,68736.0,2024,7,2024-07,2024Q3
BATCH-00002,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-05,Cambrex Corporation,USA,0.95,WH-NA-02,North America,2024-03-09,40244,39015,1,Pass,Not Applicable,37114,33430,32905,30475,29478,26012,7.9,2024-03-21,11.9,2024-04-11,20.6,2024-04-16,4.8,2024-06-07,51.9,2024-06-10,2.9,2024-06-18,7.9,2024-06-21,2.7,104,20.6,0,20.9,,63,98.89,2027-03-21 20:09:36.000000008,1006,Low,96585.6,14232,34156.8,2024,3,2024-03,2024Q1
BATCH-00003,DrugB,Betacor,Hypertension,Capsule,0,24,3.15,SUP-02,Divis Laboratories,India,0.96,WH-NA-02,North America,2023-06-22,25459,24681,1,Pass,Not Applicable,24423,21999,21654,20055,19399,17118,19.1,2023-07-04,11.6,2023-07-21,16.9,2023-07-27,6.2,2023-09-16,51.2,2023-09-27,10.9,2023-09-30,3.1,2023-10-11,11.2,111,16.9,0,25.8,54.0,65,97.31,2025-07-03 13:26:24.000000008,642,Low,80195.85,8341,26274.15,2023,6,2023-06,2023Q2
BATCH-00004,DrugX,Nephrolyte,Nephrology,Tablet,0,30,1.85,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-NA-01,North America,2023-09-01,16439,15937,1,Pass,Not Applicable,15589,14042,13822,12801,12382,10926,40.3,2023-09-12,10.5,2023-09-25,12.6,2023-09-28,2.8,2023-12-02,65.1,2023-12-05,3.4,2023-12-06,1.2,2023-12-07,1.0,97,12.6,0,26.6,57.9,69,95.18,2026-03-13 04:48:00.000000000,828,Medium,30412.15,5513,10199.05,2023,9,2023-09,2023Q3
BATCH-00005,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-06,Hikal Speciality,India,0.88,WH-NA-01,North America,2024-03-13,29122,28232,1,Pass,Not Applicable,27148,24453,24069,22292,21563,19028,16.4,2024-03-28,15.5,2024-04-17,20.4,2024-04-22,5.0,2024-06-18,57.1,2024-06-23,4.8,2024-06-27,4.1,2024-07-10,13.1,119,20.4,0,23.7,50.4,66,97.21,2027-03-28 20:09:36.000000008,1004,Low,69892.8,10094,24225.6,2024,3,2024-03,2024Q1
BATCH-00006,DrugC,Cholestat,Lipid Disorders,Injection,1,15,12.3,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-AP-01,Asia-Pacific,2023-03-15,57319,55568,0,Fail,Particulate Contamination,28625,25784,25379,23505,22736,20063,28.8,2023-03-26,11.4,2023-04-03,8.4,2023-04-07,3.5,2023-06-10,64.3,2023-06-13,2.9,2023-06-24,10.5,2023-07-06,12.4,113,8.4,0,6.9,57.2,-10,95.52,2024-06-24 14:24:00.000000000,366,High,705023.7,37256,458248.8,2023,3,2023-03,2023Q1
BATCH-00007,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-04,Lonza Group AG,Switzerland,0.97,WH-ME-01,Middle East & Africa,2023-11-23,39875,38657,1,Pass,Not Applicable,36785,33134,32614,30206,29218,25783,18.0,2023-12-04,10.7,2023-12-25,20.6,2023-12-29,4.3,2024-02-16,48.8,2024-02-23,7.4,2024-02-29,5.8,2024-03-10,10.0,108,20.6,0,5.5,66.9,62,97.53,2025-06-03 22:04:48.000000008,460,Low,382800.0,14092,135283.2,2023,11,2023-11,2023Q4
BATCH-00008,DrugA,Angiotrol,Hypertension,Injection,1,18,9.6,SUP-08,Siegfried Holding,Germany,0.96,WH-NA-02,North America,2024-04-17,76686,74343,1,Pass,Not Applicable,71981,64836,63818,59105,57171,50449,21.3,2024-04-26,8.7,2024-05-17,20.9,2024-05-23,5.7,2024-07-10,48.2,2024-07-15,5.4,2024-07-22,6.5,2024-08-07,15.9,112,20.9,0,5.7,45.4,60,96.91,2025-10-25 22:04:48.000000008,460,Medium,736185.6,26237,251875.2,2024,4,2024-04,2024Q2
BATCH-00009,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-04,Lonza Group AG  ,Switzerland,0.97,WH-EU-01,Europe,2024-04-10,35399,34318,1,Pass,Not Applicable,33158,29867,29398,27227,26336,23240,5.5,2024-04-16,5.8,2024-05-04,17.7,2024-05-05,1.5,2024-06-08,33.9,2024-06-16,7.7,2024-06-19,2.8,2024-06-20,1.0,71,17.7,0,23.9,71.5,45,97.08,2027-04-16 20:09:36.000000008,1031,Low,84957.6,12159,29181.6,2024,4,2024-04,2024Q2
BATCH-00010,DrugY,Cardiovex,Cardiovascular,Tablet,0,36,2.4,SUP-07,Shandong Xinhua Pharm,China,0.8,WH-ME-01,Middle East & Africa,2025-04-12,91865,89059,1,Pass,Not Applicable,85149,76697,75493,69918,67631,59680,38.3,2025-04-24,12.0,2025-05-12,18.4,2025-05-19,7.0,2025-07-13,54.8,2025-07-29,16.0,2025-08-02,4.4,2025-08-12,10.1,122,18.4,0,26.9,58.8,75,93.99,2028-04-23 20:09:36.000000008,995,High,220476.0,32185,77244.0,2025,4,2025-04,2025Q2
