date,year_month,drug_code,brand_name,region,units_demanded,units_fulfilled,units_backordered,fill_rate_pct,revenue_usd
2023-01-01,2023-01,DrugY,Cardiovex,North America,87782,87590,192,99.78,546561.6
2023-01-01,2023-01,DrugY,Cardiovex,Europe,69598,68408,1190,98.29,426865.92
2023-01-01,2023-01,DrugY,Cardiovex,Asia-Pacific,53942,51081,2861,94.7,318745.44
2023-01-01,2023-01,DrugY,Cardiovex,Latin America,25813,25074,739,97.14,156461.76
2023-01-01,2023-01,DrugY,Cardiovex,Middle East & Africa,16589,15923,666,95.99,99359.52
2023-01-01,2023-01,DrugX,Nephrolyte,North America,49780,46941,2839,94.3,225786.21
2023-01-01,2023-01,DrugX,Nephrolyte,Europe,43199,41329,1870,95.67,198792.49
2023-01-01,2023-01,DrugX,Nephrolyte,Asia-Pacific,33034,32126,908,97.25,154526.06
2023-01-01,2023-01,DrugX,Nephrolyte,Latin America,15488,14714,774,95.0,70774.34
2023-01-01,2023-01,DrugX,Nephrolyte,Middle East & Africa,10523,9687,836,92.06,46594.47
2023-01-01,2023-01,DrugA,Angiotrol,North America,21984,21397,587,97.33,534069.12
2023-01-01,2023-01,DrugA,Angiotrol,Europe,18158,18112,46,99.75,452075.52
2023-01-01,2023-01,DrugA,Angiotrol,Asia-Pacific,13633,13481,152,98.89,336485.76
2023-01-01,2023-01,DrugA,Angiotrol,Latin America,6066,5817,249,95.9,145192.32
2023-01-01,2023-01,DrugA,Angiotrol,Middle East & Africa,4747,4668,79,98.33,116513.28
2023-01-01,2023-01,DrugB,Betacor,North America,15554,15535,19,99.88,127231.65
2023-01-01,2023-01,DrugB,Betacor,Europe,12274,11637,637,94.81,95307.03
2023-01-01,2023-01,DrugB,Betacor,Asia-Pacific,10403,9225,1178,88.68,75552.75
2023-01-01,2023-01,DrugB,Betacor,Latin America,4577,4294,283,93.82,35167.86
2023-01-01,2023-01,DrugB,Betacor,Middle East & Africa,3122,3122,0,100.0,25569.18
2023-01-01,2023-01,DrugC,Cholestat,North America,15635,14794,841,94.62,473112.12
2023-01-01,2023-01,DrugC,Cholestat,Europe,10945,10269,676,93.82,328402.62
2023-01-01,2023-01,DrugC,Cholestat,Asia-Pacific,10261,9680,581,94.33,309566.4
2023-01-01,2023-01,DrugC,Cholestat,Latin America,4427,4171,256,94.22,133388.58
2023-01-01,2023-01,DrugC,Cholestat,Middle East & Africa,2972,2967,5,99.84,94884.66
2023-02-01,2023-02,DrugY,Cardiovex,North America,86007,84021,1986,97.69,524291.04
2023-02-01,2023-02,DrugY,Cardiovex,Europe,73767,70612,3155,95.72,440618.88
2023-02-01,2023-02,DrugY,Cardiovex,Asia-Pacific,53807,51616,2191,95.93,322083.84
2023-02-01,2023-02,DrugY,Cardiovex,Latin America,23332,22343,989,95.76,139420.32
2023-02-01,2023-02,DrugY,Cardiovex,Middle East & Africa,17473,16384,1089,93.77,102236.16
2023-02-01,2023-02,DrugX,Nephrolyte,North America,53222,51624,1598,97.0,248311.44
2023-02-01,2023-02,DrugX,Nephrolyte,Europe,40739,39651,1088,97.33,190721.31
2023-02-01,2023-02,DrugX,Nephrolyte,Asia-Pacific,33371,31703,1668,95.0,152491.43
2023-02-01,2023-02,DrugX,Nephrolyte,Latin America,13703,12686,1017,92.58,61019.66
2023-02-01,2023-02,DrugX,Nephrolyte,Middle East & Africa,10241,9873,368,96.41,47489.13
2023-02-01,2023-02,DrugA,Angiotrol,North America,21943,21943,0,100.0,547697.28
2023-02-01,2023-02,DrugA,Angiotrol,Europe,17129,17129,0,100.0,427539.84
2023-02-01,2023-02,DrugA,Angiotrol,Asia-Pacific,14765,13826,939,93.64,345096.96
2023-02-01,2023-02,DrugA,Angiotrol,Latin America,6283,5885,398,93.66,146889.6
2023-02-01,2023-02,DrugA,Angiotrol,Middle East & Africa,4578,4400,178,96.12,109824.0
2023-02-01,2023-02,DrugB,Betacor,North America,15478,13994,1484,90.41,114610.86
2023-02-01,2023-02,DrugB,Betacor,Europe,11426,10663,763,93.32,87329.97
2023-02-01,2023-02,DrugB,Betacor,Asia-Pacific,9726,9014,712,92.68,73824.66
2023-02-01,2023-02,DrugB,Betacor,Latin America,4265,3896,369,91.34,31908.24
2023-02-01,2023-02,DrugB,Betacor,Middle East & Africa,3105,3100,5,99.84,25389.0
2023-02-01,2023-02,DrugC,Cholestat,North America,15528,15448,80,99.49,494027.04
2023-02-01,2023-02,DrugC,Cholestat,Europe,13087,12918,169,98.71,413117.64
2023-02-01,2023-02,DrugC,Cholestat,Asia-Pacific,9919,8977,942,90.5,287084.46
2023-02-01,2023-02,DrugC,Cholestat,Latin America,4617,4323,294,93.63,138249.54
2023-02-01,2023-02,DrugC,Cholestat,Middle East & Africa,3144,3041,103,96.71,97251.18
2023-03-01,2023-03,DrugY,Cardiovex,North America,80452,77805,2647,96.71,485503.2
2023-03-01,2023-03,DrugY,Cardiovex,Europe,59369,55107,4262,92.82,343867.68
2023-03-01,2023-03,DrugY,Cardiovex,Asia-Pacific,52593,47208,5385,89.76,294577.92
2023-03-01,2023-03,DrugY,Cardiovex,Latin America,25868,24479,1389,94.63,152748.96
2023-03-01,2023-03,DrugY,Cardiovex,Middle East & Africa,17004,15275,1729,89.83,95316.0
2023-03-01,2023-03,DrugX,Nephrolyte,North America,46449,44303,2146,95.38,213097.43
2023-03-01,2023-03,DrugX,Nephrolyte,Europe,34411,33454,957,97.22,160913.74
2023-03-01,2023-03,DrugX,Nephrolyte,Asia-Pacific,33030,31599,1431,95.67,151991.19
2023-03-01,2023-03,DrugX,Nephrolyte,Latin America,14237,13448,789,94.46,64684.88
2023-03-01,2023-03,DrugX,Nephrolyte,Middle East & Africa,9506,8980,526,94.46,43193.8
2023-03-01,2023-03,DrugA,Angiotrol,North America,20633,20223,410,98.01,504766.08
2023-03-01,2023-03,DrugA,Angiotrol,Europe,15614,15015,599,96.16,374774.4
2023-03-01,2023-03,DrugA,Angiotrol,Asia-Pacific,12917,12234,683,94.71,305360.64
2023-03-01,2023-03,DrugA,Angiotrol,Latin America,6130,5418,712,88.39,135233.28
