snapshot_month,warehouse_id,warehouse_name,region,drug_code,brand_name,is_cold_chain,unit_cost_usd,units_on_hand,monthly_demand_units,units_issued,safety_stock,reorder_point,months_of_supply,days_to_expiry,units_expiring_soon,warehouse_capacity,inventory_value_usd
2023-01,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,7291.0,10992,10037,5441,18631,0.66,339,1120,620000,69993.6
2023-01,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,24974.0,7777,7777,3849,13181,3.21,528,1634,620000,78668.1
2023-01,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,10072.0,7817,7518,3869,13249,1.29,398,3167,620000,123885.6
2023-01,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,91730.0,24890,22717,12320,42188,3.69,465,19018,620000,169700.5
2023-01,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,104457.0,43891,39924,21726,74395,2.38,626,7458,620000,250696.8
2023-02,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,31230.0,10971,10833,5430,18595,2.85,89,9954,620000,299808.0
2023-02,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,,7739,7530,3830,13116,3.3,356,4256,620000,80378.55
2023-02,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,15812.0,7764,6676,3843,13159,2.04,308,519,620000,194487.6
2023-02,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,56316.0,26611,23005,13172,45105,2.12,342,356,620000,104184.6
2023-02,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,61526.0,43003,39382,21286,72889,1.43,575,20140,620000,147662.4
2023-03,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,20913.0,10316,10316,5106,17485,2.03,177,1115,620000,200764.8
2023-03,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,15275.0,7606,7606,3764,12891,2.01,295,2349,620000,48116.25
2023-03,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,6065.0,7286,7008,3606,12349,0.83,104,122,620000,74599.5
2023-03,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,120136.0,23224,23224,11495,39363,5.17,459,23873,620000,222251.6
2023-03,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,74149.0,40226,38581,19911,68182,1.84,526,5986,620000,177957.6
2023-04,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,22271.0,9161,9161,4534,15527,2.43,311,682,620000,213801.6
2023-04,WH-NA-01,Newark DC,North America,DrugB,Betacor,0,3.15,19102.0,6713,6713,3322,11377,2.85,524,1801,620000,60171.3
2023-04,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,5636.0,6541,6541,3237,11086,0.86,211,370,620000,69322.8
2023-04,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,71566.0,24802,22177,12276,42038,2.89,475,12703,620000,132397.1
2023-04,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,152457.0,38258,34014,18937,64846,3.98,550,6845,620000,365896.8
2023-05,WH-NA-01,Newark DC,North America,DrugA,Angiotrol,1,9.6,,8484,7300,4199,14379,0.84,267,314,620000,68284.8
2023-05,WH-NA-01,Newark DC,NORTH AMERICA,DrugB,Betacor,0,3.15,7118.0,6585,6287,3259,11161,1.08,295,211,620000,22421.7
2023-05,WH-NA-01,Newark DC,North America,DrugC,Cholestat,1,12.3,7047.0,6421,6319,3178,10883,1.1,233,868,620000,86678.1
2023-05,WH-NA-01,Newark DC,North America,DrugX,Nephrolyte,0,1.85,74079.0,20583,18479,10188,34887,3.6,284,4335,620000,137046.15
2023-05,WH-NA-01,Newark DC,North America,DrugY,Cardiovex,0,2.4,100141.0,36729,34726,18180,62254,2.73,217,6034,620000,240338.4
