shipment_id,batch_id,leg,leg_sequence,drug_code,region,warehouse_id,supplier_id,supplier_name,carrier,transport_mode,is_cold_chain,units_shipped,units_received,planned_transit_days,actual_transit_days,ship_date,delivery_date,delay_days,is_late,units_damaged,damage_rate_pct,temperature_excursion,freight_cost_usd,year_month
SHP-1-00001,BATCH-00001,Plant to Warehouse,1,DrugA,Latin America,WH-LA-01,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Air,1,18116,17832,3.0,3.0,2024-08-28,2024-08-31,0.0,0,284,1.57,0,11793.52,2024-08
SHP-1-00002,BATCH-00002,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Road,0,33430,32905,6.0,6.0,2024-04-16,2024-04-22,0.0,0,525,1.57,0,5348.8,2024-04
SHP-1-00003,BATCH-00003,Plant to Warehouse,1,DrugB,N. America,WH-NA-02,SUP-02,Divis Laboratories,Regional 3PL,Road,0,21999,21654,6.0,6.0,2023-07-27,2023-08-02,0.0,0,345,1.57,0,3519.84,2023-07
SHP-1-00004,BATCH-00004,Plant to Warehouse,1,DrugX,North America,WH-NA-01,SUP-07,Shandong Xinhua Pharm,FedEx Custom Critical,Road,0,14042,13822,6.0,6.0,2023-09-28,2023-10-04,0.0,0,220,1.57,0,2246.72,2023-09
SHP-1-00005,BATCH-00005,Plant to Warehouse,1,DrugY,North America,WH-NA-01,SUP-06,Hikal Speciality,Kuehne+Nagel Pharma,Road,0,24453,24069,6.0,,2024-04-22,2024-04-28,0.0,0,384,1.57,0,3912.48,2024-04
SHP-1-00006,BATCH-00006,Plant to Warehouse,1,DrugC,Asia-Pacific,WH-AP-01,SUP-07,Shandong Xinhua Pharm,Marken,Road,1,25784,25379,6.0,9.0,2023-04-07,2023-04-16,3.0,1,405,1.57,0,6394.43,2023-04
SHP-1-00007,BATCH-00007,Plant to Warehouse,1,DrugA,Middle East & Africa,WH-ME-01,SUP-04,Lonza Group AG,Kuehne+Nagel Pharma,Air,1,33134,32614,3.0,9.0,2023-12-29,2024-01-07,6.0,1,520,1.57,0,21570.23,2023-12
SHP-1-00008,BATCH-00008,Plant to Warehouse,1,DrugA,North America,WH-NA-02,SUP-08,Siegfried Holding,Marken,Air,1,64836,63818,3.0,3.0,2024-05-23,2024-05-26,0.0,0,1018,1.57,0,42208.24,2024-05
SHP-1-00009,BATCH-00009,Plant to Warehouse,1,DrugY,Europe,WH-EU-01,SUP-04,Lonza Group AG,FedEx Custom Critical,Road,0,29867,29398,6.0,6.0,2024-05-05,2024-05-11,0.0,0,469,1.57,0,4778.72,2024-05
SHP-1-00010,BATCH-00010,Plant to Warehouse,1,DrugY,Middle East & Africa,WH-ME-01,SUP-07,Shandong Xinhua Pharm,Kuehne+Nagel Pharma,Road,0,76697,75493,6.0,6.0,2025-05-19,2025-05-25,0.0,0,1204,1.57,0,12271.52,2025-05
SHP-1-00011,BATCH-00011,Plant to Warehouse,1,DrugY,Latin America,WH-LA-01,SUP-02,Divis Laboratories,DHL Life Sciences,Road,0,30337,29861,6.0,5.0,2025-09-20,2025-09-25,-1.0,0,476,1.57,0,4853.92,2025-09
SHP-1-00012,BATCH-00012,Plant to Warehouse,1,DrugC,North America,WH-NA-01,SUP-02,Divis Laboratories,FedEx Custom Critical,Road,1,28598,28149,6.0,6.0,2025-01-31,2025-02-06,0.0,0,449,1.57,0,7092.3,2025-01
SHP-1-00013,BATCH-00013,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-05,Cambrex Corporation,Marken,Road,0,16291,16035,6.0,,2023-05-07,2023-05-13,0.0,0,256,1.57,0,2606.56,2023-05
SHP-1-00014,BATCH-00014,Plant to Warehouse,1,DrugA,north america,WH-NA-01,SUP-05,Cambrex Corporation,Kuehne+Nagel Pharma,Road,1,44298,43603,6.0,6.0,2024-03-13,2024-03-19,0.0,0,695,1.57,0,10985.9,2024-03
SHP-1-00015,BATCH-00015,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-06,Hikal Speciality,Regional 3PL,Air,0,22708,22352,3.0,3.0,2025-02-09,2025-02-12,0.0,0,356,1.57,0,9537.36,2025-02
SHP-1-00016,BATCH-00016,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-03,Zhejiang Kangtai Chem,FedEx Custom Critical,Sea,0,21248,20914,22.0,21.0,2024-09-30,2024-10-21,-1.0,0,334,1.57,0,1274.88,2024-09
SHP-1-00017,BATCH-00017,Plant to Warehouse,1,DrugX,Asia-Pacific,WH-AP-01,SUP-07,Shandong Xinhua Pharm,Marken,Road,0,23787,23414,6.0,6.0,2024-06-11,2024-06-17,0.0,0,373,1.57,0,3805.92,2024-06
SHP-1-00018,BATCH-00018,Plant to Warehouse,1,DrugY,North America,WH-NA-02,SUP-03,Zhejiang Kangtai Chem,DHL Life Sciences,Road,0,44998,44292,6.0,6.0,2024-05-04,2024-05-10,0.0,0,706,1.57,0,7199.68,2024-05
